,State,medianHousePrice2010,medianHousePrice2011,medianHousePrice2012,medianHousePrice2013,medianHousePrice2014,medianHousePrice2015,medianHousePrice2016,medianHousePrice2017,homelessnessPercentage2010,homelessnessPercentage2011,homelessnessPercentage2012,homelessnessPercentage2013,homelessnessPercentage2014,homelessnessPercentage2015,homelessnessPercentage2016,homelessnessPercentage2017
0,California,331354.1667,296987.5,308158.8333,390208.25,418516.6667,440640.6667,479724.9167,500381.4583,0.3370336616054299,0.3384655334711057,0.3217623073051066,0.31480238510763153,0.2993465192350734,0.3012326651582043,0.30563814970096653,0.3374099382736207
1,Texas,171324.5833,168918.6667,172219.1667,187101.3333,212438.3333,245033.0833,255709.75,268202.7917,0.14446017383016402,0.1489897529230727,0.13507929363192686,0.11550594470465406,0.10920958133082233,0.08922093670754622,0.0857754372935442,0.08588013572183298
2,New York,345016.5833,317552.0,306182.5,305825.0,324191.5833,330624.3333,340693.0417,352726.0417,0.34116924648846225,0.3286888792551079,0.35862228952540515,0.3973407369498097,0.41129245041805457,0.44858038667273514,0.4383916157298884,0.4520758120373197
3,Florida,187158.3333,175891.5833,179162.5,198024.1667,215341.6667,236499.0,259156.6667,279908.75,0.31089121319473934,0.3033209164404303,0.2921342650564846,0.2507024718670781,0.21455658649777873,0.18273651959312162,0.16834674804939448,0.1587399666256494
4,Illinois,204158.3333,176166.6667,159783.3333,164489.5833,180408.3333,192858.3333,202632.3333,215231.25,0.1129430720625445,0.1095293249150012,0.11029440433691573,0.10448646594784128,0.10185140791096445,0.10235548104396222,0.0901827340292525,0.08400154155820293
5,Pennsylvania,186962.5,178566.6667,171979.1667,172991.6667,177750.0,180691.6667,180399.75,192341.6667,0.11509029982069666,0.11923474609183557,0.11603525121954734,0.11849460792980746,0.12017654736612088,0.1206692656608886,0.11998613576979997,0.1105351196063017
6,Ohio,129175.0,123733.25,122783.25,124506.25,131191.6667,136029.1667,141320.8333,152181.4167,0.10917763589636281,0.11305331049245779,0.12118546908452645,0.10671374481691558,0.10227172463188926,0.09659659828280584,0.08979073941948958,0.08695273182313219
7,Michigan,122058.3333,110011.5,108195.75,122325.0,133141.6667,141116.6667,149641.6667,165650.0,0.13120075010899068,0.13290498649227706,0.12722708013042797,0.11659811078084925,0.12364213091200912,0.10621609602112847,0.09400984903527893,0.09118873599979366
8,Georgia,172933.3333,152761.6667,152765.75,173233.5833,184406.4167,194624.0,211796.75,232963.2917,0.2094876708437117,0.21847565551029452,0.21118795903348878,0.17298958851596216,0.16674815165008103,0.13780776526270966,0.1278204869238721,0.09972911204919603
9,North Carolina,197000.0,187466.6667,182217.9167,192153.75,198055.3333,212520.8333,227766.5833,246175.0,0.13149353836157607,0.13691858440453156,0.1416978957694838,0.12607523483688343,0.11785151488579193,0.1085285789723923,0.09615899198738777,0.08915138466166442
10,New Jersey,325875.0,295525.0,280168.8333,281826.4167,289824.9583,295667.6667,300379.1667,302757.3333,0.15750591894103555,0.16150915839299246,0.14811423570552637,0.13588596357549687,0.13151350168473855,0.113404443392282,0.09977055576293574,0.09526614532930826
11,Virginia,240166.875,230958.3333,230990.7917,241237.5,256782.7083,270550.625,280651.25,293952.0,0.11579042137766628,0.11122617266904461,0.10510352210336801,0.09412821410817128,0.08576527364070288,0.08479246375337153,0.07542446416802472,0.07252013877201303
