,State,homelessnessPercentage2010,homelessnessPercentage2011,homelessnessPercentage2012,homelessnessPercentage2013,homelessnessPercentage2014,homelessnessPercentage2015,homelessnessPercentage2016,homelessnessPercentage2017
0,Alabama,0.12829297140823712,0.11707401740396477,0.10903589162640356,0.09770221639634469,0.09467216364397953,0.08218406746960018,0.08491759419842004,0.07819375517830053
1,Alaska,0.2695355394834119,0.30369500344653866,0.2690050749572165,0.27015920790319803,0.24495400247150897,0.26671211862962335,0.26328110686634415,0.24980875075314968
2,Arizona,0.2194878158729183,0.16574691122015384,0.17629132773637227,0.16300129805332128,0.1599477925528186,0.1489928827894551,0.14426527332599448,0.1313813648448901
3,Arkansas,0.09614701791077612,0.11823498374268974,0.14449459808282347,0.12995296534462591,0.0996255220499512,0.08653887759075765,0.08297198019721931,0.08284239058894324
4,California,0.3370336616054299,0.3384655334711057,0.3217623073051066,0.31480238510763153,0.2993465192350734,0.3012326651582043,0.30563814970096653,0.3374099382736207
5,Colorado,0.3167957183264134,0.3043861120513824,0.33251018818117445,0.19053278271429713,0.19293594326590452,0.1885428533866676,0.1968542504191316,0.20123170727445266
6,Connecticut,0.12172020315654668,0.12523284428071493,0.11782612067085586,0.12412234645929007,0.12388458633544662,0.11262872152068533,0.1087341197189967,0.09425568886497566
7,Delaware,0.11142908367166773,0.11618039279075407,0.11198370015031145,0.1041338725692006,0.0982487514448346,0.10286533384280278,0.1144758450617581,0.10532651218778212
8,Florida,0.31089121319473934,0.3033209164404303,0.2921342650564846,0.2507024718670781,0.21455658649777873,0.18273651959312162,0.16834674804939448,0.1587399666256494
9,Georgia,0.2094876708437117,0.21847565551029452,0.21118795903348878,0.17298958851596216,0.16674815165008103,0.13780776526270966,0.1278204869238721,0.09972911204919603
10,Hawaii,0.43746545979989365,0.4595433974426574,0.45834464640831274,0.4602927563652639,0.4967315380726989,0.5418477862815801,0.5603134529696754,0.5078577266825073
11,Idaho,0.15365500456183762,0.14187215763745115,0.12552597488332398,0.11248203192696056,0.13154406726253295,0.12161724960672347,0.13739060571097345,0.12290519647032204
12,Illinois,0.1129430720625445,0.1095293249150012,0.11029440433691573,0.10448646594784128,0.10185140791096445,0.10235548104396222,0.0901827340292525,0.08400154155820293
13,Indiana,0.10053919049434054,0.09599870101176682,0.09650714744978436,0.09357068400998886,0.09126604855610569,0.08925737347656937,0.0879874249914031,0.08221433843461359
14,Iowa,0.09992484087118282,0.10335504866657477,0.09607415034423289,0.10070029808463724,0.1014256772649244,0.09959508987479011,0.09862907516893932,0.08838710215381022
15,Kansas,0.07204567353983816,0.08869704360849669,0.09413636374796006,0.09389468384547717,0.09653319902627382,0.0894577127377344,0.07780444482474505,0.07875832524054521
16,Kentucky,0.15453256640257146,0.13980407966561942,0.1205022756036807,0.12026139714623946,0.11610048383946969,0.10319844688384126,0.0960337843090724,0.09097328075190717
17,Louisiana,0.2817645385716285,0.2071758526297575,0.17158229028800526,0.1144053548536242,0.10010760589595981,0.08823301125365467,0.08597252925842774,0.07087011127572418
18,Maine,0.17918676774638181,0.18418673689899384,0.18004881557523827,0.22705372199470006,0.20518842183307176,0.17846663155518772,0.16850599621181075,0.17140820864889736
19,Maryland,0.1903826313460219,0.17794683036566433,0.16340863428131314,0.1406338619258286,0.13342898914632623,0.14147114477640982,0.12901218845544776,0.12086231685739963
20,Massachusetts,0.2569978891774956,0.2558878859720338,0.26675934118780387,0.2880973944513432,0.3190036307561139,0.31518498159594105,0.2908274119964528,0.25871519661986714
21,Michigan,0.13120075010899068,0.13290498649227706,0.12722708013042797,0.11659811078084925,0.12364213091200912,0.10621609602112847,0.09400984903527893,0.09118873599979366
22,Minnesota,0.15011692294074264,0.1419994354125183,0.14575347147916623,0.15359759449786264,0.15560043620874348,0.13924639026891752,0.134675798423297,0.13965366328605727
23,Mississippi,0.09323617917253996,0.07799235634322048,0.08131094951509964,0.08072231523558958,0.07458923147290276,0.06636366283243325,0.0581428024696975,0.049293086242808634
