State,State Full Name,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,AL,2174819,2184489,2195233,2206994,2217272,2229279,2242534,2258396,2274565
Alaska,AK,307180,308499,310003,311249,312403,313941,315376,316932,318336
Arizona,AZ,2849444,2860024,2872724,2891278,2914141,2937060,2966587,3000043,3035669
Arkansas,AR,1318070,1324757,1331123,1338838,1345774,1353037,1360840,1370000,1380504
California,CA,13688182,13728564,13771417,13828112,13907080,13986110,14076191,14173596,14277157
Colorado,CO,2215009,2226684,2239267,2261410,2288382,2317449,2348381,2385152,2424051
Connecticut,CT,1488645,1491803,1494249,1498183,1502835,1507332,1512587,1517327,1521117
Delaware,DE,406496,408935,411189,414555,418665,423140,427692,432796,438693
District of Columbia,DC,296687,296364,299821,302494,304590,307569,311282,314741,319531
Florida,FL,8995116,9020859,9050008,9100952,9173140,9242785,9337960,9439621,9547305
Georgia,GA,4091964,4103197,4115884,4134091,4163936,4196753,4235538,4280892,4326105
Hawaii,HI,520088,523213,525678,528390,531962,534727,539784,542853,546213
Idaho,ID,668964,673018,676966,683117,691576,700089,709792,721677,735672
Illinois,IL,5297593,5302807,5307206,5313235,5320842,5333605,5345080,5359279,5376064
Indiana,IN,2797496,2806775,2815823,2826191,2840512,2854692,2869636,2885017,2903554
Iowa,IA,1337791,1343439,1348811,1356486,1366257,1375377,1385575,1397848,1409650
Kansas,KS,1234458,1238054,1241996,1246678,1253291,1259013,1265735,1273617,1280774
Kentucky,KY,1928586,1934827,1941036,1948915,1955962,1963484,1972675,1984001,1995182
Louisiana,LA,1968179,1978987,1990707,2002995,2016093,2030568,2043570,2061222,2076028
Maine,ME,722490,724977,727156,729650,732596,735445,738791,742530,746596
Maryland,MD,2380132,2386743,2394788,2404439,2416444,2426688,2437510,2448749,2458801
Massachusetts,MA,2809900,2817888,2826475,2838360,2851970,2865750,2881928,2897460,2914929
Michigan,MI,4532218,4535193,4539436,4546128,4553841,4564392,4577942,4594731,4614380
Minnesota,MN,2348693,2356136,2362661,2375719,2389750,2403435,2419408,2437438,2456064
Mississippi,MS,1276661,1282033,1287291,1293519,1300616,1307860,1315323,1323577,1332577
Missouri,MO,2714631,2719905,2726547,2735762,2746583,2760166,2774937,2790579,2806371
Montana,MT,483661,486580,489178,492074,496975,500869,505657,510322,515175
Nebraska,NE,797663,801868,806064,811158,817508,823898,830751,837443,845042
Nevada,NV,1175381,1181309,1186965,1195523,1206195,1218584,1232062,1249429,1268633
New Hampshire,NH,615224,617470,619517,621535,624042,627425,630953,634616,638091
New Jersey,NJ,3556427,3562473,3571407,3577670,3584130,3593716,3604554,3615827,3628302
New Mexico,NM,903043,908000,912663,917527,922663,927833,932520,937842,943208
New York,NY,8115494,8143563,8170562,8194675,8220297,8244474,8283133,8322887,8363934
North Carolina,NC,4334125,4361008,4386942,4428155,4472607,4515670,4567956,4622229,4684876
North Dakota,ND,318341,322584,330734,341613,352217,364908,370861,374565,377649
Ohio,OH,5128642,5134669,5140803,5149978,5162094,5173970,5186119,5201197,5217423
Oklahoma,OK,1666203,1672760,1679939,1690266,1701958,1714121,1723754,1733886,1743069
Oregon,OR,1677350,1683721,1691053,1701207,1715488,1731363,1748683,1768274,1788681
Pennsylvania,PA,5571048,5587339,5599313,5614800,5632883,5654342,5673791,5693811,5713150
Rhode Island,RI,463561,464234,464684,465158,465826,466516,467261,468241,469157
South Carolina,SC,2140808,2151621,2164116,2179874,2201456,2225873,2254292,2284296,2318271
South Dakota,SD,364280,366917,369616,373546,378732,383233,387358,392576,397526
Tennessee,TN,2815105,2827790,2839114,2855320,2875133,2898726,2926477,2958248,2992279
Texas,TX,9996594,10077012,10167982,10298263,10441915,10604437,10770794,10929148,11100779
Utah,UT,982083,990853,1000440,1013360,1028360,1045154,1062811,1084866,1108763
Vermont,VT,322977,324436,325822,327317,328993,330900,332933,335200,337110
Virginia,VA,3368659,3383399,3400397,3421133,3446135,3467598,3488808,3512469,3538847
Washington,WA,2889609,2909266,2929011,2956354,2988187,3020797,3060255,3103142,3148129
West Virginia,WV,882224,883636,884786,886383,887760,889177,890779,892190,893778
Wisconsin,WI,2625928,2632911,2638997,2647095,2656964,2667516,2680115,2695203,2710723
Wyoming,WY,262435,264695,266848,268983,271311,273221,275057,276726,278595
